Date and Time,Water Temperature (F),Est. Flow Rate[m^3/s]
9/28/17 12:00 AM,66.56,0.001469434
9/28/17 12:03 AM,66.56,0.001470506
9/28/17 12:06 AM,66.542,0.006521721
9/28/17 12:09 AM,66.56,0.004293069
9/28/17 12:12 AM,66.542,0.002251801
9/28/17 12:15 AM,66.56,0.009033927
9/28/17 12:18 AM,66.542,0.005066893
9/28/17 12:21 AM,66.578,-0.001822656
9/28/17 12:24 AM,66.542,-0.007261363
9/28/17 12:27 AM,66.524,-0.0116827
9/28/17 12:30 AM,66.506,-0.007379687
9/28/17 12:33 AM,66.452,-0.00450979
9/28/17 12:36 AM,66.47,-0.00603134
9/28/17 12:39 AM,66.452,0.000343191
9/28/17 12:42 AM,66.398,0.005319782
9/28/17 12:45 AM,66.434,0.008852421
9/28/17 12:48 AM,66.362,0.002877673
9/28/17 12:51 AM,66.344,-0.001346577
9/28/17 12:54 AM,66.308,-0.002094562
9/28/17 12:57 AM,66.29,-0.006544549
9/28/17 1:00 AM,66.29,-0.008053666
9/28/17 1:03 AM,66.272,-0.001560269
9/28/17 1:06 AM,66.272,-0.00665605
9/28/17 1:09 AM,66.236,-0.012437982
9/28/17 1:12 AM,66.236,-0.013682087
9/28/17 1:15 AM,66.254,-0.012431929
9/28/17 1:18 AM,66.236,-0.011962655
9/28/17 1:21 AM,66.236,-0.017393404
9/28/17 1:24 AM,66.218,-0.02097468
9/28/17 1:27 AM,66.2,-0.018906565
9/28/17 1:30 AM,66.182,-0.021083956
9/28/17 1:33 AM,66.164,-0.017355003
9/28/17 1:36 AM,66.164,-0.014829064
9/28/17 1:39 AM,66.164,-0.01394675
9/28/17 1:42 AM,66.146,-0.00829225
9/28/17 1:45 AM,66.146,-0.001683897
9/28/17 1:48 AM,66.128,-0.006068487
9/28/17 1:51 AM,66.128,-0.007145986
9/28/17 1:54 AM,66.11,-0.00557951
9/28/17 1:57 AM,66.128,-0.012294818
9/28/17 2:00 AM,66.11,-0.008122517
9/28/17 2:03 AM,66.092,-0.006490261
9/28/17 2:06 AM,66.128,-0.007104041
9/28/17 2:09 AM,66.092,-0.00454628
9/28/17 2:12 AM,66.092,-0.013232269
9/28/17 2:15 AM,66.092,-0.013944469
9/28/17 2:18 AM,66.074,-0.014060274
9/28/17 2:21 AM,66.074,-0.014842211
9/28/17 2:24 AM,66.056,-0.01240497
9/28/17 2:27 AM,66.074,-0.011558607
9/28/17 2:30 AM,66.074,-0.002125191
9/28/17 2:33 AM,66.056,-0.000986835
9/28/17 2:36 AM,66.038,0.000462197
9/28/17 2:39 AM,66.056,-0.000615724
9/28/17 2:42 AM,66.038,-0.005518625
9/28/17 2:45 AM,66.038,-0.008908987
9/28/17 2:48 AM,66.056,-0.015487742
9/28/17 2:51 AM,66.056,-0.011236482
9/28/17 2:54 AM,66.092,-0.012640933
9/28/17 2:57 AM,66.056,-0.015807768
9/28/17 3:00 AM,66.056,-0.015218311
9/28/17 3:03 AM,66.056,-0.014091236
9/28/17 3:06 AM,66.056,-0.015092484
9/28/17 3:09 AM,66.02,-0.017349097
9/28/17 3:12 AM,66.002,-0.01592798
9/28/17 3:15 AM,66.002,-0.014236874
9/28/17 3:18 AM,65.984,-0.012570079
9/28/17 3:21 AM,66.002,-0.010927015
9/28/17 3:24 AM,65.966,-0.009540397
9/28/17 3:27 AM,65.966,-0.001434014
9/28/17 3:30 AM,65.912,-0.001272842
9/28/17 3:33 AM,65.894,-0.003225116
9/28/17 3:36 AM,65.912,0.002195741
9/28/17 3:39 AM,65.912,0.003115028
9/28/17 3:42 AM,65.912,-0.003567162
9/28/17 3:45 AM,65.894,-0.004614486
9/28/17 3:48 AM,65.894,-0.00580477
9/28/17 3:51 AM,65.894,0.002455284
9/28/17 3:54 AM,65.894,-0.000886808
9/28/17 3:57 AM,65.876,-0.0028564
9/28/17 4:00 AM,65.876,0.003537199
9/28/17 4:03 AM,65.894,0.008759138
9/28/17 4:06 AM,65.858,0.006865261
9/28/17 4:09 AM,65.858,-6.99788E-05
9/28/17 4:12 AM,65.84,-0.003684211
9/28/17 4:15 AM,65.858,-0.005897709
9/28/17 4:18 AM,65.858,-0.009209308
9/28/17 4:21 AM,65.84,-0.009572049
9/28/17 4:24 AM,65.822,-0.004527244
9/28/17 4:27 AM,65.822,-0.003607684
9/28/17 4:30 AM,65.822,-0.000595596
9/28/17 4:33 AM,65.822,-0.006597768
9/28/17 4:36 AM,65.786,-0.005869434
9/28/17 4:39 AM,65.786,-0.00977377
9/28/17 4:42 AM,65.768,-0.014019281
9/28/17 4:45 AM,65.768,-0.020651129
9/28/17 4:48 AM,65.768,-0.018622358
9/28/17 4:51 AM,65.768,-0.018392937
9/28/17 4:54 AM,65.75,-0.027325229
9/28/17 4:57 AM,65.768,-0.028461003
9/28/17 5:00 AM,65.822,-0.02079566
9/28/17 5:03 AM,65.822,-0.009350806
9/28/17 5:06 AM,65.858,0.002031082
9/28/17 5:09 AM,65.876,0.003151642
9/28/17 5:12 AM,65.876,0.005155168
9/28/17 5:15 AM,65.894,-0.000529722
9/28/17 5:18 AM,65.876,-0.01153758
9/28/17 5:21 AM,65.912,-0.010038678
9/28/17 5:24 AM,65.912,-0.004974801
9/28/17 5:27 AM,65.894,-0.013248294
9/28/17 5:30 AM,65.876,-0.019676121
9/28/17 5:33 AM,65.912,-0.027258256
9/28/17 5:36 AM,65.858,-0.022304222
9/28/17 5:39 AM,65.84,-0.020255145
9/28/17 5:42 AM,65.84,-0.022313923
9/28/17 5:45 AM,65.822,-0.008422939
9/28/17 5:48 AM,65.822,-0.010493063
9/28/17 5:51 AM,65.804,-0.010211466
9/28/17 5:54 AM,65.84,-0.002909371
9/28/17 5:57 AM,65.822,0.005555963
9/28/17 6:00 AM,65.858,0.008600429
9/28/17 6:03 AM,65.84,0.003691499
9/28/17 6:06 AM,65.804,0.002608166
9/28/17 6:09 AM,65.786,0.005472217
9/28/17 6:12 AM,65.768,0.004325769
9/28/17 6:15 AM,65.768,0.003456361
9/28/17 6:18 AM,65.786,0.005251184
9/28/17 6:21 AM,65.732,-0.002827273
9/28/17 6:24 AM,65.714,-0.006587288
9/28/17 6:27 AM,65.696,-0.009395458
9/28/17 6:30 AM,65.66,-0.004185205
9/28/17 6:33 AM,65.642,-0.006718278
9/28/17 6:36 AM,65.642,-0.009415405
9/28/17 6:39 AM,65.624,-0.009396032
9/28/17 6:42 AM,65.588,-0.008156382
9/28/17 6:45 AM,65.57,-0.00511754
9/28/17 6:48 AM,65.552,-0.010402705
9/28/17 6:51 AM,65.552,-0.012287705
9/28/17 6:54 AM,65.516,-0.012517444
9/28/17 6:57 AM,65.57,-0.014740353
9/28/17 7:00 AM,65.588,-0.010168578
9/28/17 7:03 AM,65.57,-0.00910884
9/28/17 7:06 AM,65.606,-0.011177057
9/28/17 7:09 AM,65.57,-0.00656457
9/28/17 7:12 AM,65.48,-0.000153368
9/28/17 7:15 AM,65.462,0.003843694
9/28/17 7:18 AM,65.48,0.007639026
9/28/17 7:21 AM,65.444,0.00576405
9/28/17 7:24 AM,65.462,0.008959062
9/28/17 7:27 AM,65.408,0.003502437
9/28/17 7:30 AM,65.426,0.001474558
9/28/17 7:33 AM,65.444,-0.002802732
9/28/17 7:36 AM,65.408,-0.008405837
9/28/17 7:39 AM,65.372,-0.01254867
9/28/17 7:42 AM,65.408,-0.014161502
9/28/17 7:45 AM,65.408,-0.015524916
9/28/17 7:48 AM,65.354,-0.019652642
9/28/17 7:51 AM,65.39,-0.014913407
9/28/17 7:54 AM,65.372,-0.010527294
9/28/17 7:57 AM,65.408,-0.011819197
9/28/17 8:00 AM,65.48,-0.010604479
9/28/17 8:03 AM,65.39,-0.008846887
9/28/17 8:06 AM,65.444,-0.008286114
9/28/17 8:09 AM,65.426,-0.008116852
