Date and Time,Water Temperature (F),Estimated Flow Rate (m3/s)
10/1/2017 0:19,62.096,0.029084239
10/1/2017 0:30,61.916,0.032961846
10/1/2017 0:36,61.862,0.026500354
10/1/2017 13:25,60.512,0.01877415
10/1/2017 13:35,60.494,0.016193706
10/1/2017 13:48,60.566,0.013134837
10/1/2017 14:33,60.836,0.014516513
10/1/2017 16:40,62.114,0.011127265
10/1/2017 17:32,62.204,0.006842839
10/1/2017 17:46,62.15,0.004584448
10/1/2017 17:46,62.186,0.004584448
10/1/2017 17:46,62.222,0.004584448
10/1/2017 17:47,62.15,0.003464344
10/1/2017 17:47,62.078,0.003464344
10/1/2017 17:47,62.15,0.003464344
10/1/2017 17:47,62.132,0.003464344
10/1/2017 17:47,62.132,0.003464344
10/1/2017 17:47,62.042,0.003464344
10/1/2017 17:47,62.15,0.003464344
10/1/2017 17:47,62.15,0.004264768
10/1/2017 17:47,62.078,0.004264768
10/1/2017 17:47,62.15,0.004264768
10/1/2017 17:47,62.132,0.004264768
10/1/2017 17:47,62.132,0.004264768
10/1/2017 17:47,62.042,0.004264768
10/1/2017 17:47,62.15,0.004264768
10/1/2017 17:48,62.078,-0.000899864
10/1/2017 17:48,62.096,-0.000899864
10/1/2017 17:48,62.096,-0.000899864
10/1/2017 17:48,62.042,-0.000899864
10/1/2017 17:48,62.06,-0.000899864
10/1/2017 17:48,61.988,-0.000899864
10/1/2017 17:48,62.024,-0.000899864
10/1/2017 17:48,62.096,-0.000899864
10/1/2017 17:48,62.06,-0.000899864
10/1/2017 17:48,62.15,-0.000899864
10/1/2017 17:48,62.078,-0.000899864
10/1/2017 17:48,62.06,-0.000899864
10/1/2017 17:48,62.114,-0.000899864
10/1/2017 17:48,62.096,-0.000899864
10/1/2017 17:48,62.06,-0.000899864
10/1/2017 17:48,62.06,-0.000899864
10/1/2017 17:48,62.096,-0.000899864
10/1/2017 17:48,62.114,-0.000899864
10/2/2017 0:18,60.08,-0.004291731
10/2/2017 0:21,60.08,-0.00076954
10/2/2017 0:24,60.044,-0.002240249
10/2/2017 0:27,60.008,-0.007810462
10/2/2017 0:30,59.99,-0.009149152
10/2/2017 0:33,60.008,-0.003133714
10/2/2017 0:36,60.008,-0.002285085
10/2/2017 0:39,59.972,0.005565817
10/2/2017 0:42,59.972,0.003111173
10/2/2017 0:45,59.954,0.005009651
10/2/2017 0:48,59.954,0.004039033
10/2/2017 0:51,59.936,0.003549001
10/2/2017 0:54,59.918,-0.010317959
10/2/2017 0:57,59.9,-0.011276663
10/2/2017 1:00,59.918,-0.013223702
10/2/2017 1:03,59.9,-0.014622057
10/2/2017 1:06,59.864,-0.01708023
10/2/2017 1:09,59.882,-0.020416285
10/2/2017 1:12,59.9,-0.020110051
10/2/2017 1:15,59.882,-0.019328226
10/2/2017 1:18,59.882,-0.022581126
10/2/2017 1:21,59.846,-0.01928346
10/2/2017 1:24,59.774,-0.018911832
10/2/2017 1:27,59.792,-0.020166783
10/2/2017 1:30,59.81,-0.020791117
10/2/2017 1:33,59.792,-0.015534604
10/2/2017 1:36,59.774,-0.017766822
10/2/2017 1:39,59.756,-0.022737053
10/2/2017 1:42,59.72,-0.029809444
10/2/2017 1:45,59.684,-0.028107221
10/2/2017 1:48,59.684,-0.023978601
10/2/2017 1:51,59.666,-0.019120398
10/2/2017 1:54,59.63,-0.019699027
10/2/2017 1:57,59.594,-0.012693621
10/2/2017 2:00,59.594,-0.01568245
10/2/2017 2:03,59.576,-0.007690563
10/2/2017 2:06,59.54,-0.009568435
10/2/2017 2:09,59.54,-0.009028758
10/2/2017 2:12,59.522,-0.008700559
10/2/2017 2:15,59.486,-0.005581346
10/2/2017 2:18,59.486,-0.001427897
10/2/2017 2:21,59.504,-0.007884697
10/2/2017 2:24,59.468,-0.010484675
10/2/2017 2:27,59.45,-0.010076169
10/2/2017 2:30,59.414,-0.014748135
10/2/2017 2:33,59.45,-0.013960084
10/2/2017 2:36,59.414,-0.01933302
10/2/2017 2:39,59.396,-0.026307931
10/2/2017 2:42,59.396,-0.021637046
10/2/2017 2:45,59.396,-0.022233463
10/2/2017 2:48,59.36,-0.01708787
10/2/2017 2:51,59.342,-0.011346694
10/2/2017 2:54,59.342,-0.01297996
10/2/2017 2:57,59.36,-0.015039044
10/2/2017 3:00,59.324,-0.017508843
